# 文件名	标题	分区
ubuntu-copyright-sed.txt	sed 4.9-2build1	软件包版权与许可
ubuntu-copyright-sensible-utils.txt	sensible-utils 0.0.22	软件包版权与许可
ubuntu-copyright-sysvinit-utils.txt	sysvinit-utils 3.08-6ubuntu3	软件包版权与许可
ubuntu-copyright-tar.txt	tar 1.35+dfsg-3build1	软件包版权与许可
ubuntu-copyright-ubuntu-keyring.txt	ubuntu-keyring 2023.11.28.1	软件包版权与许可
ubuntu-copyright-util-linux.txt	util-linux 2.39.3-9ubuntu6.3	软件包版权与许可
ubuntu-copyright-zlib1g.txt	zlib1g 1:1.3.dfsg-3.1ubuntu2.1	软件包版权与许可
ubuntu-packages.txt	Ubuntu 软件包清单（91 个）	清单
MIT.txt	MIT	许可证全文
BSD-2-Clause.txt	BSD-2-Clause	许可证全文
BSD-3-Clause.txt	BSD-3-Clause	许可证全文
ISC.txt	ISC	许可证全文
Zlib.txt	Zlib	许可证全文
curl.txt	curl	许可证全文
X11.txt	X11	许可证全文
OpenLDAP-2.8.txt	OpenLDAP-2.8	许可证全文
BSD-4-Clause-UC.txt	BSD-4-Clause-UC	许可证全文
FSFULLR.txt	FSFULLR	许可证全文
all-permissive.txt	all-permissive	许可证全文
Unlicense.txt	Unlicense	许可证全文
0BSD.txt	0BSD	许可证全文
BlueOak-1.0.0.txt	BlueOak-1.0.0	许可证全文
pi-license.txt	pi 引擎 0.85.1（MIT）	许可证全文
pi-engine-licence-gaps.txt	未随包提供许可文本的依赖（13 个）	说明
pi-engine-npm-notices.txt	pi 引擎依赖的版权声明来源（含 1 个取不到的）	说明
